Name,Email,Date,Topic,Sentiment
Judson Gowan  ,judson@gowan.com,11/14/2013,Government spending,-11.00
Columbus Ferland  ,combdjs@guif.com,11/14/2013,Defence and armed forces,89.00
Towanda Seale  ,towana@seala.com,11/14/2013,Pensions and an aging society,-49.00
Renate Ontiveros  ,renata@onti.com,11/14/2013,National health service,-44.00
Angelena Gerardo  ,angel@gerado.com,11/14/2013,National health service,-11.00
Mirna Lafountain  ,mirhsajd@gyufhdd.com,11/14/2013,Environment,-84.00
Benita Fearn  ,be4nudf@hyud.com,11/14/2013,Pensions and an aging society,-95.00
Anjanette Imperato  ,anaji@gyd.my,11/14/2013,Defence and armed forces,93.00
Lelia Mcspadden  ,leila@gdjsjsd.com,11/14/2013,Consumer rights and issues,89.00
Otto Lowenthal  ,otto@lebe.com,11/14/2013,Europe,-90.00
Fernando Laurence  ,gerodf@gduhsd.com,11/14/2013,Pensions and an aging society,61.00
Johanna Hagan  ,dujsd@hd.co.uk,11/15/2013,Children and young people,40.00
Holly Storck  ,holls@ujds.com,11/15/2013,Europe,53.00
Gwenda Desmarais  ,ddsad@husd.com,11/15/2013,Environment,-77.00
Eufemia Lemons  ,uddad.hshad@djd.com,11/15/2013,Financial services,91.00
Marlin Ziebarth  ,hujs@dh.lb,11/15/2013,Pensions and an aging society,49.00
Carissa Mcgurk  ,dsfd@dhusf.com,11/15/2013,Crime and policing,-70.00
Lester Mahaffey  ,sfs@dhas.com,11/15/2013,Defence and armed forces,80.00
Darrick Pon  ,dfz@dh.com,11/15/2013,Welfare,36.00
Hilton Vina  ,sdd@hjds.uk,11/15/2013,Crime and policing,-19.00
Cheri Swatzell  ,sdau@njds.com,11/15/2013,Environment,-49.00
Jayson Haapala  ,add@adj.com,11/15/2013,Housing,-22.00
Constance Melito  ,fueef@djasf.com,11/15/2013,Defence and armed forces,67.00
Yon Tores  ,uhfa@hasjf.com,11/15/2013,Housing,-59.00
Shanita Bancroft  ,fasyuf@duas.com,11/15/2013,Europe,2.00
Cyndi Clemmer  ,gyfeaU@DSA.COM,11/15/2013,Defence and armed forces,11.00
Ambrose Garner  ,has@hjdf.com,11/15/2013,Community and society,34.00
Xenia Rodkey  ,ddf@ghd.com,11/15/2013,Europe,83.00
Audria Mungia  ,shd@ghds.com,11/16/2013,Environment,-55.00
Jonelle Unrein  ,rrrg@gsss.com,11/16/2013,Community and society,50.00
Milly Ruggles  ,mily@hdusa.com,11/16/2013,Europe,49.00
Loni Kjos  ,loni@dys.com,11/16/2013,Community and society,-74.00
Dannie Ruud  ,gdsa@dydc.com,11/16/2013,Defence and armed forces,30.00
Shaunna Nading  ,dafstdd@dfsyad.com,11/16/2013,Financial services,78.00
Kandra Lazard  ,fyaestduya@gdysad.com,11/16/2013,Financial services,69.00
Reginia Sasaki  ,gflajas@dkasf.com,11/16/2013,Energy,-29.00
Stefania Gehling  ,gfasyou@uiooh.com,11/16/2013,Community and society,15.00
Yong Trojan  ,gtduA@ha.com,11/16/2013,Environment,83.00
Beulah Arline  ,sdaf@faesu.com,11/16/2013,Energy,74.00
Abbi,abbid86@gmail.com,11/10/2013,Community and society,29.00
Abi,abi.roper.1@city.ac.uk,11/10/2013,Equality rights and citizenship,-69.00
Al,mail@al-smith.co.uk,11/10/2013,Europe,40.00
Alex,eventbrite@alex.fu2k.org,11/10/2013,Energy,89.00
Alex,alex@dxw.com,11/10/2013,Equality rights and citizenship,-31.00
Alexandria,lexij.jackson@gmail.com,11/10/2013,Equality rights and citizenship,82.00
Alexis,alexis.wieroniey@prostatecanceruk.org,11/10/2013,Consumer rights and issues,-38.00
Alice,alicec.macchi@yahoo.com,11/10/2013,Arts and culture,40.00
Alison,alison@bracketcreative.co.uk,11/11/2013,Defence and armed forces,57.00
Amanda,,11/11/2013,Environment,93.00
Amanda,amanda@thepointpeople.com,11/11/2013,Welfare,-59.00
Amanda,ayymanduh@gmail.com,11/11/2013,International aid and development,-18.00
Amy,amy.burton@diabetes.org.uk,11/11/2013,Financial services,89.00
Amy,amy.tomlins@yahoo.com,11/11/2013,Pensions and an aging society,31.00
andy,im3dia@gmail.com,11/11/2013,Crime and policing,62.00
Anindita,anindita.ghosh@actionforchildren.org.uk,11/11/2013,Defence and armed forces,-95.00
Anke,Anke@hol.st,11/11/2013,Housing,75.00
Ann,ann@dxw.com,11/11/2013,Climate change,-79.00
Anna,anna.clark@hearingloss.org.uk,11/12/2013,Environment,10.00
Anna,eventbrite@annarosekerr.com,11/12/2013,Pensions and an aging society,-14.00
Anne,anne@visceralbusiness.com,11/12/2013,Equality rights and citizenship,38.00
Anne,anne.bowers@pplconsulting.co.uk,11/12/2013,Crime and policing,96.00
Anne Marie,anne.marie.cunningham@gmail.com,11/12/2013,Crime and policing,-24.00
Benjamin,bgw@boun.cr,11/12/2013,Defence and armed forces,-75.00
Bhavna,bhavna_b_patel@hotmail.com,11/12/2013,Equality rights and citizenship,51.00
Bridge,bridgewilliams108@gmail.com,11/12/2013,Crime and policing,69.00
Bridget,bridgethjackson@gmail.com,11/12/2013,Pensions and an aging society,26.00
Bruce,Bruce.collingwood@blueyonder.co.uk,11/12/2013,Defence and armed forces,-11.00
Bryony,blvmeredith@googlemail.com,11/12/2013,Europe,78.00
Bryony,bryonyaverilwalker@gmail.com,11/12/2013,Equality rights and citizenship,22.00
Camila,media@camila-reed.com,11/12/2013,Community and society,74.00
Camilla,camilla_west@yahoo.com,11/12/2013,Financial services,60.00
Caroline,carolinehilton_@hotmail.com,11/12/2013,Media and communciations,-56.00
Cassie,cassie@thepointpeople.com,11/12/2013,Crime and policing,-42.00
Catherine,catherinepellegrino@yahoo.co.uk,11/12/2013,Defence and armed forces,-4.00
Charlotte,charlotte@welikepie.com,11/13/2013,Equality rights and citizenship,88.00
Charlotte,Lotts.pam@gmail.com,11/13/2013,Consumer rights and issues,19.00
Chloe,chloe.nicholls.newspepper@gmail.com,11/13/2013,Defence and armed forces,92.00
Chris,zetter@gmail.com,11/13/2013,Media and communciations,-12.00
Chris,chris71193@live.co.uk,11/13/2013,Equality rights and citizenship,-64.00
Christopher,chris.fonseka@googlemail.com,11/13/2013,National security,-52.00
Christopher,ejrk@fdsiuf.com,11/13/2013,Media and communciations,-71.00
Claire,gyasd@hufsda.com,11/13/2013,Defence and armed forces,92.00
Clare,clare_quennell@tvha.co.uk,11/13/2013,Pensions and an aging society,13.00
Clare,Clare.eden@talk21.com,11/13/2013,Equality rights and citizenship,94.00
Cristiano,cbetta@gmail.com,11/13/2013,Arts and culture,-82.00
Cristiano,gyfsa@gfyuadsf.com,11/13/2013,Crime and policing,-10.00
Dana,danasml@gmail.com,11/14/2013,Pensions and an aging society,-4.00
Daniel,daniel.hough@gmail.com,11/14/2013,Defence and armed forces,38.00
Daniel,contact@danielknell.co.uk,11/14/2013,Financial services,-73.00
Darci,uhsf@tuyiuiu.com,11/14/2013,National health service,8.00
David,@dr_blackthorn,11/14/2013,Defence and armed forces,70.00
David,david@davidp.org.uk,11/14/2013,Community and society,95.00
Dawn,missdawnnewton@yahoo.com,11/14/2013,Environment,-22.00
Deirdre,dathaide@gmail.com,11/14/2013,Pensions and an aging society,40.00
Eleanor,eleanord@refugee-action.org.uk,11/14/2013,Media and communciations,-88.00
Elena,elena.plaiter@gmail.com,11/14/2013,Children and young people,58.00
Elizabeth,wagoro@gmail.com,11/14/2013,Children and young people,-65.00
Elizabeth,e.kirk@herts.ac.uk,11/14/2013,Media and communciations,-28.00
Ella,ellaweston@gmail.com,11/14/2013,Crime and policing,-90.00
Ellen,Ef2104@gmail.com,11/14/2013,Crime and policing,17.00
Eloise,eloise.munday@defra.gsi.gov.uk,11/14/2013,Europe,-87.00
Eloise,eloise.munday@defra.gsi.gov.uk,11/14/2013,Crime and policing,-24.00
Eloise,eloise.munday@defra.gsi.gov.uk,11/14/2013,Environment,1.00
Emily,emily@londonshopfronts.com,11/14/2013,Arts and culture,-9.00
Emma,emma.callagher@childrenssociety.org.uk,11/14/2013,Consumer rights and issues,8.00
Florence,fnopara@gmail.com,11/15/2013,Equality rights and citizenship,89.00
Florian,florian.rathgeber@gmail.com,11/15/2013,Consumer rights and issues,88.00
Frances,francesbaker.photo@gmail.com,11/15/2013,Borders and immigration,93.00
Gideon,gideon@hy.com,11/15/2013,Arts and culture,61.00
Giuseppe,puntofisso@gmail.com,11/15/2013,Environment,-62.00
Glyn,glynwintle@yahoo.com,11/15/2013,Financial services,21.00
Hadley,hadley@beeman.net,11/15/2013,Equality rights and citizenship,-58.00
Hannah,hannah@blhyd.com,11/15/2013,Environment,-20.00
Harpreet,harpreet.purewal@gmail.com,11/15/2013,Climate change,-79.00
Helen,littlepurplegoth@me.com,11/15/2013,Financial services,0.00
Helen,littlepurplegoth@me.com,11/15/2013,Equality rights and citizenship,-47.00
helena,helena.rhodes@btinternet.com,11/15/2013,Europe,-71.00
Holly,niceonehutch@gmail.com,11/15/2013,Europe,-31.00
Ian,,11/15/2013,National security,-19.00
Ian,ian@chopstixmedia.com,11/15/2013,Community and society,-20.00
Ian,ian.forrester@bbc.co.uk,11/16/2013,Housing,9.00
Irene,i.digiulio@ucl.ac.uk,11/16/2013,National health service,-74.00
Jacob,jdwebbgr@gmail.com,11/16/2013,Borders and immigration,90.00
Jagvinder,jag.reehal@gmail.com,11/16/2013,Media and communciations,-89.00
Jake,jake@jkasd.com,11/16/2013,Environment,4.00
Jane,jane.oloughlin@digital.cabinet-office.gov.uk,11/16/2013,Equality rights and citizenship,15.00
Jayne,jaynehilditch@gmail.com,11/16/2013,Community and society,50.00
Jayne,Jayne_hilditch@tvha.co.uk,11/16/2013,Environment,70.00
Jenny,jenny_sandford@hotmail.com,11/16/2013,National health service,-60.00
Jenny,jenny.harris362@gmail.com,11/16/2013,National health service,-79.00
Joanne,joannred01@gmail.com,11/16/2013,National health service,-12.00
Jonathan,j.fielding@me.com,11/16/2013,Housing,5.00
Karen,karen1.szeto@gmail.com,11/16/2013,Financial services,90.00
Karen,KB@freshasalettuce.com,11/16/2013,Europe,-55.00
karen,karen@mambamedia.com,11/16/2013,Borders and immigration,83.00
Kate,katesandall@yahoo.co.uk,11/16/2013,Equality rights and citizenship,-60.00
Kate,k.maclean@bbk.ac.uk,11/16/2013,National health service,-59.00
Kate,contact@katereidfilms.co.uk,11/16/2013,National security,94.00
Katy,katybeale@gmail.com,11/16/2013,Environment,-17.00
Katy,katybeale@gmail.com,11/16/2013,National health service,74.00
Kelly,kelly.louise.adams@gmail.com,11/16/2013,Borders and immigration,54.00
Kevin,nextgengames@gmail.com,11/16/2013,Housing,-71.00
Kirsty,kirstymarrins@gmail.com,11/16/2013,Housing,-27.00
Kristina,kristina.barrick@stroke.org.uk,11/16/2013,Housing,18.00
Lau,lha@jboye.com,11/16/2013,Housing,99.00
Laura,laura_osborne@tvha.co.uk,11/16/2013,Welfare,66.00
Laura,laura.north1@gmail.com,11/11/2013,Europe,-2.00
Laura,LMADANCE@gmail.com,11/11/2013,Equality rights and citizenship,34.00
Laura,laurajaynegrover@yahoo.com,11/11/2013,Welfare,-84.00
Laura,laura@speakingoutevents.com,11/11/2013,National health service,85.00
Laura,laura@pbz1912.com,11/11/2013,Pensions and an aging society,33.00
Laxmi,laxmiharihar@gmail.com,11/11/2013,National health service,-20.00
Lenora,@lenorajoseph,11/11/2013,Equality rights and citizenship,-75.00
Lily,@lily_dart,11/11/2013,National health service,-8.00
Lily,Lily@lilydart.com,11/11/2013,Pensions and an aging society,-49.00
Liz,Liz.j.eden@gmail.com,11/11/2013,Climate change,-86.00
Liz,liz@lgeoresearch.com,11/11/2013,National health service,22.00
Lizetta,online@lizetta.com,11/12/2013,Borders and immigration,22.00
Louise,louiseemmabrown@gmail.com,11/12/2013,Climate change,-99.00
Louise,louise.kidney@digital.cabinet-office.gov.uk,11/12/2013,Media and communciations,-63.00
Louise,l.barfield@btinternet.com,11/12/2013,Media and communciations,-36.00
Louise,Louiseemerson@yahoo.co.uk,11/12/2013,Borders and immigration,-89.00
Lucy,lucy@reputationcommunications.com,11/12/2013,Children and young people,-1.00
Luke,eventbrite@ekul.co.uk,11/13/2013,Europe,-95.00
Lydia,funkylydia@hotmail.com,11/13/2013,Consumer rights and issues,-64.00
Lynda,Lynda@wonderpr.co.uk,11/13/2013,Pensions and an aging society,-70.00
Lynne,lynne@big-idea.biz,11/13/2013,Environment,-87.00
Maddy,m.mcgarrie@gmail.com,11/13/2013,Government efficiency transparency and accountability,-83.00
Maggie,maggiebobalina@gmail.com,11/13/2013,Climate change,-57.00
Maggie,maggiebobalina@gmail.com,11/13/2013,Equality rights and citizenship,36.00
Mark,markusgrossman@gmail.com,11/13/2013,Media and communciations,19.00
Mark,Mark@oneill.io,11/13/2013,Europe,-95.00
Mark,maakusan@yahoo.com,11/13/2013,Pensions and an aging society,-66.00
Martin,martin.belam@currybet.net,11/14/2013,Pensions and an aging society,-98.00
Martyn,martyn@sendgrid.com,11/14/2013,Pensions and an aging society,97.00
Matt,matt@matt.com,11/14/2013,Environment,-35.00
Matt,matt@charitychap.com,11/14/2013,Climate change,-26.00
Max,maxharlow@gmail.com,11/14/2013,Welfare,100.00
Melinda,mseckington@gmail.com,11/14/2013,Housing,-63.00
Monique,mszpak@zenlan.com,11/14/2013,Equality rights and citizenship,-94.00
Natalie,natalie.aquilina@barnardos.org.uk,11/14/2013,National security,-9.00
Neil,neil@neilcford.co.uk,11/14/2013,Media and communciations,46.00
Niki,niki@treacletiger.co.uk,11/14/2013,Welfare,52.00
Noel,noel.hatch1@gmail.com,11/14/2013,Environment,6.00
olivier,ot@zoy.org,11/15/2013,Borders and immigration,-74.00
Paul,p@ulclarke.com,11/15/2013,Equality rights and citizenship,-62.00
Pauline,pajrichey@gmail.com,11/15/2013,Europe,-31.00
Peter,ws@ecommerce-workshops.co.uk,11/15/2013,Government efficiency transparency and accountability,2.00
Peter,peterbjordan@gmail.com,11/15/2013,Borders and immigration,47.00
Pippa,pippa@dircon.co.uk,11/15/2013,Pensions and an aging society,-6.00
Rachel,@AllThingsIC,11/15/2013,Children and young people,-31.00
Rachel,rachel_miller1@hotmail.co.uk,11/15/2013,Environment,-93.00
Rachel,Rachel@daretoleap.co.uk,11/15/2013,Media and communciations,-7.00
Ramat,ramat.tejani@gmail.com,11/15/2013,Equality rights and citizenship,-58.00
Rebecca,rebecca.gregory-clarke@bbc.co.uk,11/15/2013,Europe,64.00
Rhiannan,yf@husd.com,11/15/2013,Pensions and an aging society,58.00
Rhiannon,r_colvin@hotmail.co.uk,11/15/2013,Europe,-23.00
Rich,richsaekang@gmail.com,11/15/2013,Government efficiency transparency and accountability,57.00
Richard,flare68@yahoo.com,11/15/2013,Housing,-54.00
Rita,ritaissa88@gmail.com,11/15/2013,Further education and skills,-17.00
Rosario,rosario@roundabout.io,11/16/2013,Welfare,77.00
Roxana,rkhakinia@gmail.com,11/16/2013,Equality rights and citizenship,27.00
Ruth,rumyra@gmail.com,11/16/2013,Environment,-84.00
Ryszard,ryszardkaleta@gmail.com,11/16/2013,Housing,-67.00
Sabine K,sabine@3d-metrics.com,11/16/2013,Europe,-82.00
Sarah,sarah.rowley@swiftkey.net,11/16/2013,Equality rights and citizenship,-88.00
Sarah,baskers1@googlemail.com,11/16/2013,Further education and skills,-47.00
Sarah,sarah.cowley@luminarconsulting.co.uk,11/16/2013,Media and communciations,69.00
Sarah,posh1_251@hotmail.com,11/16/2013,Equality rights and citizenship,92.00
Sarah,posh1_251@hotmail.com,11/16/2013,Welfare,87.00
Sarah,sarah.rowley@swiftkey.net,11/16/2013,Europe,-34.00
Sarah,baskers1@googlemail.com,11/16/2013,Equality rights and citizenship,-2.00
Sarah,sarahjwells1@gmail.com,11/11/2013,Borders and immigration,87.00
Sean,seandturner@gmail.com,11/11/2013,Housing,-1.00
Sharon,sharon@sharonodea.co.uk,11/11/2013,Europe,-88.00
Sharon,sharon@sharonodea.co.uk,11/12/2013,Government efficiency transparency and accountability,-82.00
Sheila,coder@kaikoda.com,11/12/2013,Equality rights and citizenship,-66.00
Sherry,sherylc@gmail.com,11/12/2013,Financial services,73.00
Simon,eventbrite@simon.vc,11/12/2013,Equality rights and citizenship,19.00
simone,simz_is@yahoo.co.uk,11/12/2013,Europe,-86.00
Sophie,smitchio@gmail.com,11/12/2013,Borders and immigration,50.00
Sophie,smdrouet@gmail.com,11/13/2013,Equality rights and citizenship,-5.00
Stefan,scz@arkimeda.com,11/13/2013,Equality rights and citizenship,-51.00
Stephen,stephen.emmott@lse.ac.uk,11/13/2013,Equality rights and citizenship,-56.00
Stephen,scross@hillingdon.gov.uk,11/13/2013,Government efficiency transparency and accountability,-86.00
Tanya,tanya@yudsdsd.com,11/13/2013,Europe,-59.00
Terence,eventbrite.com@shkspr.mobi,11/13/2013,Housing,6.00
Tim,maggiebobalina@gmail.com,11/14/2013,Environment,-47.00
Tim,timbogan@ntlworld.com,11/14/2013,National security,67.00
Tom,tom@tommorris.org,11/14/2013,Government efficiency transparency and accountability,52.00
Tom,tacairns@gmail.com,11/14/2013,Europe,-44.00
Tom,tom@tommorris.org,11/14/2013,Borders and immigration,-36.00
Tori,tori@bastows.co.uk,11/14/2013,Housing,79.00
Tracy,greentr@parliament.uk,11/15/2013,Europe,-56.00
Tristan,tristanr@cogapp.com,11/15/2013,Government efficiency transparency and accountability,55.00
Vanda,Zoe.ruby.perl@gmail.com,11/15/2013,Financial services,96.00
Viktoriya,vicky.yordanova@reformdigital.com,11/16/2013,Environment,-14.00
Yodit,yodit@atomicdatalabs.com,11/16/2013,Equality rights and citizenship,71.00
Cathie,cathie.odea@travelcounsellors.com,11/16/2013,Government efficiency transparency and accountability,52.00
